id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
192,FLEMOcs: Public/Private Services,TRUE,High,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
193,FLEMOcs: Public/Private Services,TRUE,Average,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
194,FLEMOcs: Public/Private Services,TRUE,Low,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
195,FLEMOcs: Industry,TRUE,High,0,,FLEMOcs,Germany,Structure,Employment,Industrial,,,,Observations,Micro,
196,FLEMOcs: Industry,TRUE,Average,0,,FLEMOcs,Germany,Structure,Employment,Industrial,,,,Observations,Micro,
197,FLEMOcs: Industry,TRUE,Low,0,,FLEMOcs,Germany,Structure,Employment,Industrial,,,,Observations,Micro,
198,FLEMOcs: Industry,TRUE,High,0,,FLEMOcs,Germany,Content,Employment,Industrial,,,,Observations,Micro,
199,FLEMOcs: Industry,TRUE,Average,0,,FLEMOcs,Germany,Content,Employment,Industrial,,,,Observations,Micro,
200,FLEMOcs: Industry,TRUE,Low,0,,FLEMOcs,Germany,Content,Employment,Industrial,,,,Observations,Micro,
201,FLEMOcs: Corporate services,TRUE,High,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
202,FLEMOcs: Corporate services,TRUE,Average,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
203,FLEMOcs: Corporate services,TRUE,Low,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
204,FLEMOcs: Corporate services,TRUE,High,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
205,FLEMOcs: Corporate services,TRUE,Average,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
206,FLEMOcs: Corporate services,TRUE,Low,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
207,FLEMOcs: Trade,TRUE,High,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
208,FLEMOcs: Trade,TRUE,Average,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
209,FLEMOcs: Trade,TRUE,Low,0,,FLEMOcs,Germany,Structure,Employment,Office,,,,Observations,Micro,
210,FLEMOcs: Trade,TRUE,High,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
211,FLEMOcs: Trade,TRUE,Average,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
212,FLEMOcs: Trade,TRUE,Low,0,,FLEMOcs,Germany,Content,Employment,Office,,,,Observations,Micro,
213,Dura Vermeer: Semi-Detached house,TRUE,Average,0,,Billah,Netherlands,Structure,Residential,Semi-detached,,,,Expert calculation,Micro,"Translated from an absolute function, maximum damage HIS-SSM used."
214,Dura Vermeer: Semi-Detached house,TRUE,Average,0,,Billah,Netherlands,Content,Residential,Semi-detached,,,,Expert calculation,Micro,"Translated from an absolute function, maximum damage HIS-SSM used."
215,Dura Vermeer: Terraced house,TRUE,Average,0,,Billah,Netherlands,Structure,Residential,Terraced,,,,Expert calculation,Micro,"Translated from an absolute function, maximum damage HIS-SSM used."
216,Dura Vermeer: Terrached house,TRUE,Average,0,,Billah,Netherlands,Content,Residential,Terraced,,,,Expert calculation,Micro,"Translated from an absolute function, maximum damage HIS-SSM used."
217,Tebodin (buitendijks): Food industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
218,Tebodin (buitendijks): Food industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
219,Tebodin (buitendijks): Food industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
220,Tebodin (buitendijks): Oil industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
221,Tebodin (buitendijks): Oil industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
222,Tebodin (buitendijks): Oil industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
223,Tebodin (buitendijks): Chemical industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
224,Tebodin (buitendijks): Chemical industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
225,Tebodin (buitendijks): Chemical industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
226,Tebodin (buitendijks): Building material and glass industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
227,Tebodin (buitendijks): Building material and glass industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
228,Tebodin (buitendijks): Building material and glass industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
229,Tebodin (buitendijks): Basic metal industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
230,Tebodin (buitendijks): Basic metal industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
231,Tebodin (buitendijks): Basic metal industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
232,Tebodin (buitendijks): Metal product industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
233,Tebodin (buitendijks): Metal product industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
234,Tebodin (buitendijks): Metal product industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
235,Tebodin (buitendijks): Machine industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
236,Tebodin (buitendijks): Machine industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
237,Tebodin (buitendijks): Machine industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
238,Tebodin (buitendijks): Transport industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
239,Tebodin (buitendijks): Transport industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
240,Tebodin (buitendijks): Transport industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
241,Tebodin (buitendijks): Other industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
242,Tebodin (buitendijks): Other industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
243,Tebodin (buitendijks): Other industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
244,Tebodin (buitendijks): Public Utilities,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
245,Tebodin (buitendijks): Public Utilities,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
246,Tebodin (buitendijks): Waste treatment,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
247,Tebodin (buitendijks): Waste treatment,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
248,Tebodin (buitendijks): Tank storage,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
249,Tebodin (buitendijks): Tank storage,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
250,Tebodin (buitendijks): Tank storage,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
251,Tebodin (buitendijks): Container terminal,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
252,Tebodin (buitendijks): Container terminal,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
253,Tebodin (buitendijks): Container terminal,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
254,Tebodin (buitendijks): Cargo Handling,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
255,Tebodin (buitendijks): Cargo Handling,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
256,Tebodin (buitendijks): Cargo Handling,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
257,Tebodin (buitendijks): Bulkterminals,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
258,Tebodin (buitendijks): Bulkterminals,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
259,Tebodin (buitendijks): Bulkterminals,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,Buitendijks
260,Tebodin: Food industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 15-16
261,Tebodin: Food industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 15-16
262,Tebodin: Food industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 15-16
263,Tebodin: Textile industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 17-18
264,Tebodin: Textile industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 17-18
265,Tebodin: Textile industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 17-18
266,Tebodin: Leather industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 19
267,Tebodin: Leather industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 19
268,Tebodin: Leather industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 19
269,Tebodin: Wood industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 20
270,Tebodin: Wood industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 20
271,Tebodin: Wood industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 20
272,Tebodin: Paper industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI:21
273,Tebodin: Paper industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI:21
274,Tebodin: Paper industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI:21
275,Tebodin: Printing press,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 22
276,Tebodin: Printing press,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 22
277,Tebodin: Printing press,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 22
278,Tebodin: Oil industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 23
279,Tebodin: Oil industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 23
280,Tebodin: Oil industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 23
281,Tebodin: Chemical industry (bulk),TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI:24
282,Tebodin: Chemical industry (bulk),TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI:24
283,Tebodin: Chemical industry (bulk),TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI:24
284,Tebodin: Chemical industry (fine),TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI:24
285,Tebodin: Chemical industry (fine),TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI:24
286,Tebodin: Chemical industry (fine),TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI:24
287,Tebodin: Ruber and plastic products industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 25
288,Tebodin: Ruber and plastic products industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 25
289,Tebodin: Ruber and plastic products industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 25
290,"Tebodin: Glass, pottery, lime products industry",TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 26
291,"Tebodin: Glass, pottery, lime products industry",TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 26
292,"Tebodin: Glass, pottery, lime products industry",TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 26
293,Tebodin: Basic metal industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 27
294,Tebodin: Basic metal industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 27
295,Tebodin: Basic metal industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 27
296,Tebodin: Metal product industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 28
297,Tebodin: Metal product industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 28
298,Tebodin: Metal product industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 28
299,Tebodin: Machine industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 29
300,Tebodin: Machine industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 29
301,Tebodin: Machine industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 29
302,Tebodin: Computer industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 30
303,Tebodin: Computer industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 30
304,Tebodin: Computer industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 30
305,Tebodin: Other electronical industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 31 -33
306,Tebodin: Other electronical industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 31 -33
307,Tebodin: Other electronical industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 31 -33
308,Tebodin: Transport industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 34 - 35
309,Tebodin: Transport industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 34 - 35
310,Tebodin: Transport industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 34 - 35
311,Tebodin: Furniture industry,TRUE,Average,0,,Tebodin,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,SBI: 36
312,Tebodin: Furniture industry,TRUE,Average,0,,Tebodin,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,SBI: 36
313,Tebodin: Furniture industry,TRUE,Average,0,,Tebodin,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,SBI: 36
314,Tebodin: Average industry combined,TRUE,Average,0,,Custom,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
315,Tebodin: Average industry structure,TRUE,Average,0,,Custom,Netherlands,Structure,Employment,Industrial,,,,Expert calculation,Micro,
316,Tebodin: Average industry content,TRUE,Average,0,,Custom,Netherlands,Content,Employment,Industrial,,,,Expert calculation,Micro,
317,Tebodin: Average industry inventory,TRUE,Average,0,,Custom,Netherlands,Inventory,Employment,Industrial,,,,Expert calculation,Micro,
318,1953: Agriculture,TRUE,Average,0,,1953,Netherlands,Content,Employment,Agriculture,,,,Observations,NA,
319,1953: Companies,TRUE,Average,0,,1953,Netherlands,Structure,Employment,Commercial,,,,Observations,NA,
320,1953: Companies,TRUE,Average,0,,1953,Netherlands,Content,Employment,Commercial,,,,Observations,NA,
321,1953: Companies,TRUE,Average,0,,1953,Netherlands,Inventory,Employment,Commercial,,,,Observations,NA,
322,1953: Housing,TRUE,Average,0,,1953,Netherlands,Structure,Residential,Generic,,,,Observations,NA,
323,1953: Housing,TRUE,Average,0,,1953,Netherlands,Content,Residential,Generic,,,,Observations,NA,
324,1953: Companies combined,TRUE,Average,0,,Custom,Netherlands,Combined,Employment,Commercial,,,,Expert calculation,NA,
325,Average all company functions,TRUE,Average,0,,Custom,Multiple,Combined,Residential,Generic,,,,Expert calculation,NA,
326,Average all company functions corrected,TRUE,Average,0,,Custom,Multiple,Combined,Residential,Generic,,,,Expert calculation,NA,MCM functions have a weight of 0.1 and Tebodin is left out
327,Weighted average HAZUS and FLEMO industry,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Industrial,,,,Expert calculation,NA,
328,FLEMO: Average industry combined,TRUE,Average,0,,custom,Germany,Combined,Employment,Industrial,,,,Expert calculation,NA,
329,Average all housing content functions,TRUE,Average,0,,custom,Multiple,Content,Residential,Generic,,,,Expert calculation,NA,
330,Average all housing structure functions,TRUE,Average,0,,custom,Multiple,Structure,Residential,Generic,,,,Expert calculation,NA,
331,First flood house,TRUE,Average,0,,custom,Netherlands,Combined,Residential,Generic,,,,Expert calculation,Micro,
332,High rise building,TRUE,Average,0,3+,custom,Netherlands,Combined,Residential,Generic,,,,Expert calculation,Micro,
333,Car,TRUE,Average,0,,HAZUS-MH,United States,Combined,Residential,Vehicle,,,,Expert calculation,Micro,
334,Light truck,TRUE,Average,0,,HAZUS-MH,United States,Combined,Residential,Vehicle,,,,Expert calculation,Micro,
335,Heavy truck,TRUE,Average,0,,HAZUS-MH,United States,Combined,Residential,Vehicle,,,,Expert calculation,Micro,
336,"HAZUS, MCM and FLEMO offices",TRUE,Average,0,,Custom,Multiple,Combined,Employment,Office,,,,Expert calculation,Micro,
337,"HAZUS, MCM and FLEMO Stores",TRUE,Average,0,,Custom,Multiple,Combined,Employment,Commercial,,,,Expert calculation,Micro,
338,"HAZUS, FLEMO and Tebodin Industry",TRUE,Average,0,,Custom,Multiple,Combined,Employment,Industrial,,,,Expert calculation,Micro,
339,Average all none industry company functions,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Generic,,,,Expert calculation,Micro,
340,Tebodin: Food industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
341,Tebodin: Textile industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
342,Tebodin: Leather industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
343,Tebodin: Wood industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
344,Tebodin: Paper industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
345,Tebodin: Printing press,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
346,Tebodin: Oil industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
347,Tebodin: Chemical industry (bulk),TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
348,Tebodin: Chemical industry (fine),TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
349,Tebodin: Ruber and plastic products industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
350,Tebodin: building material industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
351,Tebodin: Basic metal industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
352,Tebodin: Metal product industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
353,Tebodin: Machine industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
354,Tebodin: Computer industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
355,Tebodin: Other electronical industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
356,Tebodin: Transport industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
357,Tebodin: Furniture industry,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
358,"Tebodin weighted average rough (metal, oil, building)",TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
359,Teboding weighted average fine,TRUE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,Micro,
360,FIAT proposed company functions (without industry) - option 1,TRUE,Average,0,,Custom,Netherlands,Combined,Employment,Generic,,,,Expert calculation,Micro,
361,FIAT proposed company functions (without industry) - option 0,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Generic,,,,Expert calculation,Micro,
362,FIAT proposed company functions (without industry) - option 2,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Generic,,,,Expert calculation,Micro,
363,FIAT proposed company functions (without industry) - option 3,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Generic,,,,Expert calculation,Micro,
364,Tebodin average scaled to 1,FALSE,Average,0,,Custom,Multiple,Combined,Employment,Generic,,,,Expert calculation,Micro,
365,Theoretisch correcte opschaling,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Other,,,,Expert calculation,Micro,
366,FIAT proposed company function (without industry) option 4,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Generic,,,,Expert calculation,Micro,
367,Bedrijfsuitval functie,TRUE,Average,0,,Custom,Multiple,Combined,Employment,Other,,,,Expert calculation,Micro,
368,Tebodin: Food industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
369,Tebodin: Textile industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
370,Tebodin: Leather industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
371,Tebodin: Wood industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
372,Tebodin: Paper industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
373,Tebodin: Printing press (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
374,Tebodin: Oil industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
375,Tebodin: Chemical industry (bulk) (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
376,Tebodin: Chemical industry (fine) (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
377,Tebodin: Ruber and plastic products industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
378,Tebodin: building material industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
379,Tebodin: Basic metal industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
380,Tebodin: Metal product industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
381,Tebodin: Machine industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
382,Tebodin: Computer industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
383,Tebodin: Other electronical industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
384,Tebodin: Transport industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
385,Tebodin: Furniture industry (scaled to 1),FALSE,Average,0,,Tebodin,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
386,MCM average companies function (wo industry),TRUE,Average,0,,Custom,United Kingdom,Combined,Employment,Generic,,,,Expert calculation,,
387,HAZUS average companies function (wo industry),TRUE,Average,0,,Custom,United States,Combined,Employment,Generic,,,,Expert calculation,,
388,Rhine Atlas average companies function,TRUE,Average,0,,Custom,Germany,Combined,Employment,Generic,,,,Expert calculation,,
389,FLEMOcs average companies function (wo industry),TRUE,Average,0,,Custom,Germany,Combined,Employment,Generic,,,,Expert calculation,,
