id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
42,MCM: Hyperstore,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
43,MCM: Hyperstore,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
44,MCM: Hyperstore,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
45,MCM: Retail Warehouse,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
46,MCM: Retail Warehouse,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
47,MCM: Retail Warehouse,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
48,MCM: Retail Warehouse,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
49,MCM: Retail Warehouse,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
50,MCM: Retail Warehouse,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Industrial,Warehouse,,,Expert calculation,Micro,
51,"MCM: Garage, vehicle repair",TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Industrial,,,,Expert calculation,Micro,
52,"MCM: Garage, vehicle repair",TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Industrial,,,,Expert calculation,Micro,
53,"MCM: Garage, vehicle repair",TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Industrial,,,,Expert calculation,Micro,
54,"MCM: Garage, vehicle repair",TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Industrial,,,,Expert calculation,Micro,
55,"MCM: Garage, vehicle repair",TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Industrial,,,,Expert calculation,Micro,
56,"MCM: Garage, vehicle repair",TRUE,High,0,,MCM,United Kingdom,Content,Employment,Industrial,,,,Expert calculation,Micro,
57,MCM: Filling station,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
58,MCM: Filling station,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
59,MCM: Filling station,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
60,MCM: Filling station,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
61,MCM: Filling station,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
62,MCM: Filling station,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
