Strategie,Verticale Evacuatie
Voorbereiding,2
TRAJECT_ID,p1,p2,p3,p4,p5
45-1,0.1,0,0.45,0.36,0.09
51-1,0.1,0,0.45,0.36,0.09
40-1,0.1,0,0.45,0.36,0.09
40-2,0.1,0,0.45,0.36,0.09
49-1,0.1,0,0.45,0.36,0.09
49-2,0.1,0,0.45,0.36,0.09
44-1,0.1,0,0.45,0.36,0.09
41-1,0.1,0,0.45,0.36,0.09
41-2,0.1,0,0.45,0.36,0.09
41-3,0.1,0,0.45,0.36,0.09
41-4,0.1,0,0.45,0.36,0.09
42-1,0.1,0,0.45,0.36,0.09
52-1,0.1,0,0.45,0.36,0.09
52-2,0.1,0,0.45,0.36,0.09
52-3,0.1,0,0.45,0.36,0.09
52-4,0.1,0,0.45,0.36,0.09
52a-1,0.1,0,0.45,0.36,0.09
48-1,0.1,0,0.45,0.36,0.09
48-2,0.1,0,0.45,0.36,0.09
48-3,0.1,0,0.45,0.36,0.09
53-1,0.1,0,0.45,0.36,0.09
53-2,0.1,0,0.45,0.36,0.09
53-3,0.1,0,0.45,0.36,0.09
50-1,0.1,0,0.45,0.36,0.09
50-2,0.1,0,0.45,0.36,0.09
2-2,0.2,0,0.4,0.32,0.08
2-1,0.2,0,0.4,0.32,0.08
1-1,0.2,0,0.4,0.32,0.08
1-2,0.2,0,0.4,0.32,0.08
3-2,0.2,0,0.4,0.32,0.08
3-1,0.2,0,0.4,0.32,0.08
5-1,0.2,0,0.4,0.32,0.08
5-2,0.2,0,0.4,0.32,0.08
4-2,0.2,0,0.4,0.32,0.08
4-1,0.2,0,0.4,0.32,0.08
34a-1,0.2,0,0.4,0.32,0.08
34-1,0.2,0,0.4,0.32,0.08
34-2,0.2,0,0.4,0.32,0.08
32-1,0.2,0,0.4,0.32,0.08
32-2,0.2,0,0.4,0.32,0.08
32-3,0.2,0,0.4,0.32,0.08
32-4,0.2,0,0.4,0.32,0.08
25-1,0.2,0,0.4,0.32,0.08
