Strategie,Preventieve Evacuatie
Voorbereiding,2
TRAJECT_ID,p1,p2,p3,p4,p5
39-1,0.8712,0.0288,0.01,0.072,0.018
40-1,0.8712,0.0288,0.01,0.072,0.018
40-2,0.8712,0.0288,0.01,0.072,0.018
41-1,0.8712,0.0288,0.01,0.072,0.018
41-2,0.8712,0.0288,0.01,0.072,0.018
41-3,0.8712,0.0288,0.01,0.072,0.018
41-4,0.8712,0.0288,0.01,0.072,0.018
42-1,0.8712,0.0288,0.01,0.072,0.018
43-1,0.8712,0.0288,0.01,0.072,0.018
43-2,0.8712,0.0288,0.01,0.072,0.018
43-3,0.8712,0.0288,0.01,0.072,0.018
43-4,0.8712,0.0288,0.01,0.072,0.018
43-5,0.8712,0.0288,0.01,0.072,0.018
43-6,0.8712,0.0288,0.01,0.072,0.018
47-1,0.8712,0.0288,0.01,0.072,0.018
48-1,0.8712,0.0288,0.01,0.072,0.018
48-2,0.8712,0.0288,0.01,0.072,0.018
48-3,0.8712,0.0288,0.01,0.072,0.018
49-1,0.8712,0.0288,0.01,0.072,0.018
49-2,0.8712,0.0288,0.01,0.072,0.018
50-1,0.8712,0.0288,0.01,0.072,0.018
50-2,0.8712,0.0288,0.01,0.072,0.018
51-1,0.8712,0.0288,0.01,0.072,0.018
53-1,0.8712,0.0288,0.01,0.072,0.018
53-2,0.8712,0.0288,0.01,0.072,0.018
53-3,0.8712,0.0288,0.01,0.072,0.018
44-1,0.8712,0.0288,0.01,0.072,0.018
37-1,0.8712,0.0288,0.01,0.072,0.018
45-1,0.8712,0.0288,0.01,0.072,0.018
1-1,0,0.8,0.02,0.144,0.036
1-2,0,0.8,0.02,0.144,0.036
2-2,0,0.8,0.02,0.144,0.036
3-2,0,0.8,0.02,0.144,0.036
4-2,0,0.8,0.02,0.144,0.036
5-1,0,0.8,0.02,0.144,0.036
5-2,0,0.8,0.02,0.144,0.036
3-1,0,0.8,0.02,0.144,0.036
2-1,0,0.8,0.02,0.144,0.036
4-1,0,0.8,0.02,0.144,0.036
34-1,0.7536,0.0464,0.02,0.144,0.036
34-2,0.7536,0.0464,0.02,0.144,0.036
34a-1,0.7536,0.0464,0.02,0.144,0.036
32-1,0.7536,0.0464,0.02,0.144,0.036
32-2,0.7536,0.0464,0.02,0.144,0.036
32-3,0.7536,0.0464,0.02,0.144,0.036
32-4,0.7536,0.0464,0.02,0.144,0.036
25-1,0.5216,0.2784,0.02,0.144,0.036
25-2,0.5216,0.2784,0.02,0.144,0.036
26-1,0.5216,0.2784,0.02,0.144,0.036
26-2,0.5216,0.2784,0.02,0.144,0.036
26-3,0.5216,0.2784,0.02,0.144,0.036
27-1,0.5216,0.2784,0.02,0.144,0.036
27-2,0.5216,0.2784,0.02,0.144,0.036
28-1,0.5216,0.2784,0.02,0.144,0.036
29-3,0.5216,0.2784,0.02,0.144,0.036
29-4,0.5216,0.2784,0.02,0.144,0.036
30-2,0.5216,0.2784,0.02,0.144,0.036
30-3,0.5216,0.2784,0.02,0.144,0.036
30-4,0.5216,0.2784,0.02,0.144,0.036
31-1,0.5216,0.2784,0.02,0.144,0.036
31-2,0.5216,0.2784,0.02,0.144,0.036
30-1,0.5216,0.2784,0.02,0.144,0.036
29-1,0.5216,0.2784,0.02,0.144,0.036
29-2,0.5216,0.2784,0.02,0.144,0.036
