wd(m),Factor
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0.000262467
0.62,0.006824147
0.63,0.013385827
0.64,0.019947507
0.65,0.026509186
0.66,0.033070866
0.67,0.039632546
0.68,0.046194226
0.69,0.052755906
0.7,0.059317585
0.71,0.065879265
0.72,0.072440945
0.73,0.079002625
0.74,0.085564304
0.75,0.092125984
0.76,0.098687664
0.77,0.105249344
0.78,0.111811024
0.79,0.118372703
0.8,0.124934383
0.81,0.131496063
0.82,0.138057743
0.83,0.144619423
0.84,0.151181102
0.85,0.157742782
0.86,0.164304462
0.87,0.170866142
0.88,0.177427822
0.89,0.183989501
0.9,0.190551181
0.91,0.197112861
0.92,0.200918635
0.93,0.202559055
0.94,0.204199475
0.95,0.205839895
0.96,0.207480315
0.97,0.209120735
0.98,0.210761155
0.99,0.212401575
1,0.214041995
1.01,0.215682415
1.02,0.217322835
1.03,0.218963255
1.04,0.220603675
1.05,0.222244094
1.06,0.223884514
1.07,0.225524934
1.08,0.227165354
1.09,0.228805774
1.1,0.230446194
1.11,0.232086614
1.12,0.233727034
1.13,0.235367454
1.14,0.237007874
1.15,0.238648294
1.16,0.240288714
1.17,0.241929134
1.18,0.243569554
1.19,0.245209974
1.2,0.246850394
1.21,0.248490814
1.22,0.250131234
1.23,0.251771654
1.24,0.253412073
1.25,0.255052493
1.26,0.256692913
1.27,0.258333333
1.28,0.259973753
1.29,0.261614173
1.3,0.263254593
1.31,0.264895013
1.32,0.266535433
1.33,0.268175853
1.34,0.269816273
1.35,0.271456693
1.36,0.273097113
1.37,0.274737533
1.38,0.276377953
1.39,0.278018373
1.4,0.279658793
1.41,0.281299213
1.42,0.282939633
1.43,0.284580052
1.44,0.286220472
1.45,0.287860892
1.46,0.289501312
1.47,0.291141732
1.48,0.292782152
1.49,0.294422572
1.5,0.296062992
1.51,0.297703412
1.52,0.299343832
1.53,0.300984252
1.54,0.302624672
1.55,0.304265092
1.56,0.305905512
1.57,0.307545932
1.58,0.309186352
1.59,0.310826772
1.6,0.312467192
1.61,0.314107612
1.62,0.315748031
1.63,0.317388451
1.64,0.319028871
1.65,0.320669291
1.66,0.322309711
1.67,0.323950131
1.68,0.325590551
1.69,0.327230971
1.7,0.328871391
1.71,0.330511811
1.72,0.332152231
1.73,0.333792651
1.74,0.335433071
1.75,0.337073491
1.76,0.338713911
1.77,0.340354331
1.78,0.341994751
1.79,0.343635171
1.8,0.345275591
1.81,0.34691601
1.82,0.34855643
1.83,0.35019685
1.84,0.35183727
1.85,0.35347769
1.86,0.35511811
1.87,0.35675853
1.88,0.35839895
1.89,0.36003937
1.9,0.36167979
1.91,0.36332021
1.92,0.36496063
1.93,0.36660105
1.94,0.36824147
1.95,0.36988189
1.96,0.37152231
1.97,0.37316273
1.98,0.37480315
1.99,0.37644357
2,0.37808399
2.01,0.379724409
2.02,0.381364829
2.03,0.383005249
2.04,0.384645669
2.05,0.386286089
2.06,0.387926509
2.07,0.389566929
2.08,0.391207349
2.09,0.392847769
2.1,0.394488189
2.11,0.396128609
2.12,0.397769029
2.13,0.399409449
2.14,0.400629921
2.15,0.401614173
2.16,0.402598425
2.17,0.403582677
2.18,0.404566929
2.19,0.405551181
2.2,0.406535433
2.21,0.407519685
2.22,0.408503937
2.23,0.409488189
2.24,0.410472441
2.25,0.411456693
2.26,0.412440945
2.27,0.413425197
2.28,0.414409449
2.29,0.415393701
2.3,0.416377953
2.31,0.417362205
2.32,0.418346457
2.33,0.419330709
2.34,0.420314961
2.35,0.421299213
2.36,0.422283465
2.37,0.423267717
2.38,0.424251969
2.39,0.42523622
2.4,0.426220472
2.41,0.427204724
2.42,0.428188976
2.43,0.429173228
2.44,0.430209974
2.45,0.43152231
2.46,0.432834646
2.47,0.434146982
2.48,0.435459318
2.49,0.436771654
2.5,0.43808399
2.51,0.439396325
2.52,0.440708661
2.53,0.442020997
2.54,0.443333333
2.55,0.444645669
2.56,0.445958005
2.57,0.447270341
2.58,0.448582677
2.59,0.449895013
2.6,0.451207349
2.61,0.452519685
2.62,0.453832021
2.63,0.455144357
2.64,0.456456693
2.65,0.457769029
2.66,0.459081365
2.67,0.460393701
2.68,0.461706037
2.69,0.463018373
2.7,0.464330709
2.71,0.465643045
2.72,0.466955381
2.73,0.468267717
2.74,0.469580052
2.75,0.470669291
2.76,0.471653543
2.77,0.472637795
2.78,0.473622047
2.79,0.474606299
2.8,0.475590551
2.81,0.476574803
2.82,0.477559055
2.83,0.478543307
2.84,0.479527559
2.85,0.480511811
2.86,0.481496063
2.87,0.482480315
2.88,0.483464567
2.89,0.484448819
2.9,0.485433071
2.91,0.486417323
2.92,0.487401575
2.93,0.488385827
2.94,0.489370079
2.95,0.490354331
2.96,0.491338583
2.97,0.492322835
2.98,0.493307087
2.99,0.494291339
3,0.495275591
3.01,0.496259843
3.02,0.497244094
3.03,0.498228346
3.04,0.499212598
3.05,0.500153509
3.06,0.500921053
3.07,0.501688596
3.08,0.50245614
3.09,0.503223684
3.1,0.503991228
3.11,0.504758772
3.12,0.505526316
3.13,0.50629386
3.14,0.507061404
3.15,0.507828947
3.16,0.508596491
3.17,0.509364035
3.18,0.510131579
3.19,0.510899123
3.2,0.511666667
3.21,0.512434211
3.22,0.513201754
3.23,0.513969298
3.24,0.514736842
3.25,0.515504386
3.26,0.51627193
3.27,0.517039474
3.28,0.517807018
3.29,0.518574561
3.3,0.519342105
3.31,0.520109649
3.32,0.520877193
3.33,0.521644737
3.34,0.522412281
3.35,0.523179825
3.36,0.523947368
3.37,0.524714912
3.38,0.525482456
3.39,0.52625
3.4,0.527017544
3.41,0.527785088
3.42,0.528552632
3.43,0.529320175
3.44,0.530087719
3.45,0.530855263
3.46,0.531622807
3.47,0.532390351
3.48,0.533157895
3.49,0.533925439
3.5,0.534692982
3.51,0.535460526
3.52,0.53622807
3.53,0.536995614
3.54,0.537763158
3.55,0.538530702
3.56,0.539298246
3.57,0.540065789
3.58,0.540833333
3.59,0.541600877
3.6,0.542368421
3.61,0.543135965
3.62,0.543903509
3.63,0.544671053
3.64,0.545438596
3.65,0.54620614
3.66,0.546973684
3.67,0.547741228
3.68,0.548508772
3.69,0.549276316
3.7,0.55004386
3.71,0.550811404
3.72,0.551578947
3.73,0.552346491
3.74,0.553114035
3.75,0.553881579
3.76,0.554649123
3.77,0.555416667
3.78,0.556184211
3.79,0.556951754
3.8,0.557719298
3.81,0.558486842
3.82,0.559254386
3.83,0.56002193
3.84,0.560789474
3.85,0.561557018
3.86,0.562324561
3.87,0.563092105
3.88,0.563859649
3.89,0.564627193
3.9,0.565394737
3.91,0.566162281
3.92,0.566929825
3.93,0.567697368
3.94,0.568464912
3.95,0.569232456
3.96,0.57
3.97,0.570327225
