wd(m),factor
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.001
0.04,0.001
0.05,0.001
0.06,0.001
0.07,0.001
0.08,0.002
0.09,0.002
0.1,0.002
0.11,0.002
0.12,0.002
0.13,0.003
0.14,0.003
0.15,0.003
0.16,0.003
0.17,0.003
0.18,0.004
0.19,0.004
0.2,0.004
0.21,0.004
0.22,0.004
0.23,0.005
0.24,0.005
0.25,0.005
0.26,0.005
0.27,0.005
0.28,0.006
0.29,0.006
0.3,0.006
0.31,0.006
0.32,0.006
0.33,0.007
0.34,0.007
0.35,0.007
0.36,0.007
0.37,0.007
0.38,0.008
0.39,0.008
0.4,0.008
0.41,0.008
0.42,0.008
0.43,0.009
0.44,0.009
0.45,0.009
0.46,0.009
0.47,0.009
0.48,0.01
0.49,0.01
0.5,0.01
0.51,0.01
0.52,0.01
0.53,0.011
0.54,0.011
0.55,0.011
0.56,0.011
0.57,0.011
0.58,0.012
0.59,0.012
0.6,0.012
0.61,0.012
0.62,0.012
0.63,0.013
0.64,0.013
0.65,0.013
0.66,0.013
0.67,0.013
0.68,0.014
0.69,0.014
0.7,0.014
0.71,0.014
0.72,0.014
0.73,0.015
0.74,0.015
0.75,0.015
0.76,0.015
0.77,0.015
0.78,0.016
0.79,0.016
0.8,0.016
0.81,0.016
0.82,0.016
0.83,0.017
0.84,0.017
0.85,0.017
0.86,0.017
0.87,0.017
0.88,0.018
0.89,0.018
0.9,0.018
0.91,0.018
0.92,0.018
0.93,0.019
0.94,0.019
0.95,0.019
0.96,0.019
0.97,0.019
0.98,0.02
0.99,0.02
1.0,0.02
1.01,0.02
1.02,0.02
1.03,0.021
1.04,0.021
1.05,0.021
1.06,0.021
1.07,0.021
1.08,0.022
1.09,0.022
1.1,0.022
1.11,0.022
1.12,0.022
1.13,0.023
1.14,0.023
1.15,0.023
1.16,0.023
1.17,0.023
1.18,0.024
1.19,0.024
1.2,0.024
1.21,0.024
1.22,0.024
1.23,0.025
1.24,0.025
1.25,0.025
1.26,0.025
1.27,0.025
1.28,0.026
1.29,0.026
1.3,0.026
1.31,0.026
1.32,0.026
1.33,0.027
1.34,0.027
1.35,0.027
1.36,0.027
1.37,0.027
1.38,0.028
1.39,0.028
1.4,0.028
1.41,0.028
1.42,0.028
1.43,0.029
1.44,0.029
1.45,0.029
1.46,0.029
1.47,0.029
1.48,0.03
1.49,0.03
1.5,0.03
1.51,0.03
1.52,0.03
1.53,0.031
1.54,0.031
1.55,0.031
1.56,0.031
1.57,0.031
1.58,0.032
1.59,0.032
1.6,0.032
1.61,0.032
1.62,0.032
1.63,0.033
1.64,0.033
1.65,0.033
1.66,0.033
1.67,0.033
1.68,0.034
1.69,0.034
1.7,0.034
