column separator = ,
wd(m), 0.5(m/h), 4.0(m/h)
0.00, 0.0000, 0.0000
0.01, 0.0005, 0.0005
0.02, 0.0014, 0.0014
0.03, 0.0027, 0.0027
0.04, 0.0042, 0.0042
0.05, 0.0058, 0.0058
0.06, 0.0076, 0.0076
0.07, 0.0095, 0.0095
0.08, 0.0116, 0.0116
0.09, 0.0137, 0.0137
0.10, 0.0159, 0.0159
0.11, 0.0181, 0.0181
0.12, 0.0204, 0.0204
0.13, 0.0228, 0.0228
0.14, 0.0252, 0.0252
0.15, 0.0277, 0.0277
0.16, 0.0302, 0.0302
0.17, 0.0327, 0.0327
0.18, 0.0353, 0.0353
0.19, 0.0379, 0.0379
0.20, 0.0406, 0.0406
0.21, 0.0432, 0.0432
0.22, 0.0459, 0.0459
0.23, 0.0487, 0.0487
0.24, 0.0514, 0.0514
0.25, 0.0542, 0.0542
0.26, 0.0570, 0.0570
0.27, 0.0598, 0.0598
0.28, 0.0626, 0.0626
0.29, 0.0655, 0.0655
0.30, 0.0684, 0.0684
0.31, 0.0713, 0.0713
0.32, 0.0742, 0.0742
0.33, 0.0771, 0.0771
0.34, 0.0800, 0.0800
0.35, 0.0829, 0.0829
0.36, 0.0859, 0.0859
0.37, 0.0888, 0.0888
0.38, 0.0918, 0.0918
0.39, 0.0948, 0.0948
0.40, 0.0978, 0.0978
0.41, 0.1008, 0.1008
0.42, 0.1038, 0.1038
0.43, 0.1068, 0.1068
0.44, 0.1099, 0.1099
0.45, 0.1129, 0.1129
0.46, 0.1159, 0.1159
0.47, 0.1190, 0.1190
0.48, 0.1221, 0.1221
0.49, 0.1251, 0.1251
0.50, 0.1282, 0.1282
0.51, 0.1313, 0.1313
0.52, 0.1344, 0.1344
0.53, 0.1374, 0.1374
0.54, 0.1405, 0.1405
0.55, 0.1436, 0.1436
0.56, 0.1467, 0.1467
0.57, 0.1499, 0.1499
0.58, 0.1530, 0.1530
0.59, 0.1561, 0.1561
0.60, 0.1592, 0.1592
0.61, 0.1623, 0.1623
0.62, 0.1655, 0.1655
0.63, 0.1686, 0.1686
0.64, 0.1717, 0.1717
0.65, 0.1749, 0.1749
0.66, 0.1780, 0.1780
0.67, 0.1811, 0.1811
0.68, 0.1843, 0.1843
0.69, 0.1874, 0.1874
0.70, 0.1906, 0.1906
0.71, 0.1937, 0.1937
0.72, 0.1969, 0.1969
0.73, 0.2001, 0.2001
0.74, 0.2032, 0.2032
0.75, 0.2064, 0.2064
0.76, 0.2095, 0.2095
0.77, 0.2127, 0.2127
0.78, 0.2159, 0.2159
0.79, 0.2190, 0.2190
0.80, 0.2222, 0.2222
0.81, 0.2254, 0.2254
0.82, 0.2286, 0.2286
0.83, 0.2317, 0.2317
0.84, 0.2349, 0.2349
