wd(m),factor(-)
3.72,0.01113
3.73,0.011158
3.74,0.011187
3.75,0.011215
3.76,0.011244
3.77,0.011272
3.78,0.011301
3.79,0.011329
3.8,0.011358
3.81,0.011386
3.82,0.011415
3.83,0.011443
3.84,0.011472
3.85,0.0115
3.86,0.011529
3.87,0.011557
3.88,0.011585
3.89,0.011614
3.9,0.011642
3.91,0.011671
3.92,0.011699
3.93,0.011727
3.94,0.011756
3.95,0.011784
3.96,0.011812
3.97,0.01184
3.98,0.011869
3.99,0.011897
4,0.011925
4.01,0.011953
4.02,0.011982
4.03,0.01201
4.04,0.012038
4.05,0.012066
4.06,0.012094
4.07,0.012123
4.08,0.012151
4.09,0.012179
4.1,0.012207
4.11,0.012235
4.12,0.012263
4.13,0.012291
4.14,0.012319
4.15,0.012347
4.16,0.012375
4.17,0.012404
4.18,0.012432
4.19,0.01246
4.2,0.012488
4.21,0.012516
4.22,0.012544
4.23,0.012571
4.24,0.012599
4.25,0.012627
4.26,0.012655
4.27,0.012683
4.28,0.012711
4.29,0.012739
4.3,0.012767
4.31,0.012795
4.32,0.012823
4.33,0.01285
4.34,0.012878
4.35,0.012906
4.36,0.012934
4.37,0.012962
4.38,0.012989
4.39,0.013017
4.4,0.013045
4.41,0.013073
4.42,0.0131
4.43,0.013128
4.44,0.013156
4.45,0.013184
4.46,0.013211
4.47,0.013239
4.48,0.013267
4.49,0.013294
4.5,0.013322
4.51,0.013349
4.52,0.013377
4.53,0.013405
4.54,0.013432
4.55,0.01346
4.56,0.013487
4.57,0.013515
4.58,0.013542
4.59,0.01357
4.6,0.013598
4.61,0.013625
4.62,0.013653
4.63,0.01368
4.64,0.013707
4.65,0.013735
4.66,0.013762
4.67,0.01379
4.68,0.013817
4.69,0.013845
4.7,0.013872
4.71,0.013899
4.72,0.013927
4.73,0.013954
4.74,0.013982
4.75,0.014009
4.76,0.014036
4.77,0.014064
4.78,0.014091
4.79,0.014118
4.8,0.014145
4.81,0.014173
4.82,0.0142
4.83,0.014227
4.84,0.014254
4.85,0.014282
4.86,0.014309
4.87,0.014336
4.88,0.014363
4.89,0.01439
4.9,0.014418
4.91,0.014445
4.92,0.014472
4.93,0.014499
4.94,0.014526
4.95,0.014553
4.96,0.01458
4.97,0.014607
4.98,0.014635
4.99,0.014662
5,0.014689
5.01,0.014716
5.02,0.014743
5.03,0.01477
5.04,0.014797
5.05,0.014824
5.06,0.014851
5.07,0.014878
5.08,0.014905
5.09,0.014932
5.1,0.014959
5.11,0.014986
5.12,0.015012
5.13,0.015039
5.14,0.015066
5.15,0.015093
5.16,0.01512
5.17,0.015147
5.18,0.015174
5.19,0.015201
5.2,0.015227
5.21,0.015254
5.22,0.015281
5.23,0.015308
5.24,0.015335
5.25,0.015361
5.26,0.015388
5.27,0.015415
5.28,0.015442
5.29,0.015468
5.3,0.015495
5.31,0.015522
5.32,0.015549
5.33,0.015575
5.34,0.015602
5.35,0.015629
5.36,0.015655
5.37,0.015682
5.38,0.015709
5.39,0.015735
5.4,0.015762
5.41,0.015788
5.42,0.015815
5.43,0.015842
5.44,0.015868
5.45,0.015895
5.46,0.015921
5.47,0.015948
5.48,0.015974
5.49,0.016001
5.5,0.016027
5.51,0.016054
5.52,0.01608
5.53,0.016107
5.54,0.016133
5.55,0.01616
5.56,0.016186
5.57,0.016213
5.58,0.016239
5.59,0.016265
5.6,0.016292
5.61,0.016318
5.62,0.016345
5.63,0.016371
5.64,0.016397
5.65,0.016424
5.66,0.01645
5.67,0.016476
5.68,0.016503
5.69,0.016529
5.7,0.016555
5.71,0.016582
5.72,0.016608
5.73,0.016634
5.74,0.01666
5.75,0.016687
5.76,0.016713
5.77,0.016739
5.78,0.016765
5.79,0.016792
5.8,0.016818
5.81,0.016844
5.82,0.01687
5.83,0.016896
5.84,0.016922
5.85,0.016949
5.86,0.016975
5.87,0.017001
5.88,0.017027
5.89,0.017053
5.9,0.017079
5.91,0.017105
5.92,0.017131
5.93,0.017157
5.94,0.017183
5.95,0.017209
5.96,0.017235
5.97,0.017261
5.98,0.017287
5.99,0.017313
6,0.017339
6.01,0.017365
6.02,0.017391
6.03,0.017417
6.04,0.017443
6.05,0.017469
6.06,0.017495
6.07,0.017521
6.08,0.017547
6.09,0.017573
6.1,0.017599
6.11,0.017625
6.12,0.017651
6.13,0.017676
6.14,0.017702
6.15,0.017728
6.16,0.017754
6.17,0.01778
6.18,0.017806
6.19,0.017831
6.2,0.017857
6.21,0.017883
6.22,0.017909
6.23,0.017935
6.24,0.01796
6.25,0.017986
6.26,0.018012
6.27,0.018037
6.28,0.018063
6.29,0.018089
6.3,0.018115
6.31,0.01814
6.32,0.018166
6.33,0.018192
6.34,0.018217
6.35,0.018243
6.36,0.018269
6.37,0.018294
6.38,0.01832
6.39,0.018345
6.4,0.018371
6.41,0.018397
6.42,0.018422
6.43,0.018448
6.44,0.018473
6.45,0.018499
6.46,0.018524
6.47,0.01855
6.48,0.018575
6.49,0.018601
6.5,0.018626
6.51,0.018652
6.52,0.018677
6.53,0.018703
6.54,0.018728
6.55,0.018754
6.56,0.018779
6.57,0.018805
6.58,0.01883
6.59,0.018856
6.6,0.018881
6.61,0.018906
6.62,0.018932
6.63,0.018957
6.64,0.018983
6.65,0.019008
6.66,0.019033
6.67,0.019059
6.68,0.019084
6.69,0.019109
6.7,0.019135
6.71,0.01916
6.72,0.019185
6.73,0.01921
6.74,0.019236
6.75,0.019261
6.76,0.019286
6.77,0.019311
6.78,0.019337
6.79,0.019362
6.8,0.019387
6.81,0.019412
6.82,0.019438
6.83,0.019463
6.84,0.019488
6.85,0.019513
6.86,0.019538
6.87,0.019563
6.88,0.019589
6.89,0.019614
6.9,0.019639
6.91,0.019664
6.92,0.019689
6.93,0.019714
6.94,0.019739
6.95,0.019764
6.96,0.019789
6.97,0.019815
6.98,0.01984
6.99,0.019865
7,0.01989
7.01,0.019915
7.02,0.01994
7.03,0.019965
7.04,0.01999
7.05,0.020015
7.06,0.02004
7.07,0.020065
7.08,0.02009
7.09,0.020115
7.1,0.02014
7.11,0.020165
7.12,0.020189
7.13,0.020214
7.14,0.020239
7.15,0.020264
7.16,0.020289
7.17,0.020314
7.18,0.020339
7.19,0.020364
7.2,0.020389
7.21,0.020413
7.22,0.020438
7.23,0.020463
7.24,0.020488
7.25,0.020513
7.26,0.020538
7.27,0.020562
7.28,0.020587
7.29,0.020612
7.3,0.020637
7.31,0.020661
7.32,0.020686
7.33,0.020711
7.34,0.020736
7.35,0.02076
7.36,0.020785
7.37,0.02081
7.38,0.020835
7.39,0.020859
7.4,0.020884
7.41,0.020909
7.42,0.020933
7.43,0.020958
7.44,0.020983
7.45,0.021007
7.46,0.021032
7.47,0.021056
7.48,0.021081
7.49,0.021106
7.5,0.02113
7.51,0.021155
7.52,0.021179
7.53,0.021204
7.54,0.021229
7.55,0.021253
7.56,0.021278
7.57,0.021302
7.58,0.021327
7.59,0.021351
7.6,0.021376
7.61,0.0214
7.62,0.021425
7.63,0.021449
7.64,0.021474
7.65,0.021498
7.66,0.021523
7.67,0.021547
7.68,0.021572
7.69,0.021596
7.7,0.021621
7.71,0.021645
7.72,0.021669
7.73,0.021694
7.74,0.021718
7.75,0.021743
7.76,0.021767
7.77,0.021791
7.78,0.021816
7.79,0.02184
7.8,0.021864
7.81,0.021889
7.82,0.021913
7.83,0.021937
7.84,0.021962
7.85,0.021986
7.86,0.02201
7.87,0.022035
7.88,0.022059
7.89,0.022083
7.9,0.022107
7.91,0.022132
7.92,0.022156
7.93,0.02218
7.94,0.022204
7.95,0.022229
7.96,0.022253
7.97,0.022277
7.98,0.022301
