wd(m),Factor
0.0,0.0
0.01,0.016
0.02,0.033
0.03,0.049
0.04,0.065
0.05,0.081
0.06,0.098
0.07,0.114
0.08,0.13
0.09,0.146
0.1,0.163
0.11,0.163
0.12,0.164
0.13,0.164
0.14,0.165
0.15,0.166
0.16,0.166
0.17,0.167
0.18,0.167
0.19,0.168
0.2,0.168
0.21,0.169
0.22,0.169
0.23,0.17
0.24,0.171
0.25,0.171
0.26,0.172
0.27,0.172
0.28,0.173
0.29,0.173
0.3,0.174
0.31,0.174
0.32,0.175
0.33,0.176
0.34,0.176
0.35,0.177
0.36,0.177
0.37,0.178
0.38,0.178
0.39,0.179
0.4,0.179
0.41,0.183
0.42,0.186
0.43,0.189
0.44,0.192
0.45,0.195
0.46,0.198
0.47,0.201
0.48,0.204
0.49,0.207
0.5,0.21
0.51,0.213
0.52,0.216
0.53,0.219
0.54,0.222
0.55,0.225
0.56,0.228
0.57,0.231
0.58,0.235
0.59,0.237
0.6,0.241
0.61,0.244
0.62,0.247
0.63,0.25
0.64,0.253
0.65,0.256
0.66,0.259
0.67,0.262
0.68,0.265
0.69,0.268
0.7,0.271
0.71,0.274
0.72,0.277
0.73,0.28
0.74,0.283
0.75,0.286
0.76,0.289
0.77,0.293
0.78,0.296
0.79,0.299
0.8,0.302
0.81,0.303
0.82,0.304
0.83,0.305
0.84,0.306
0.85,0.307
0.86,0.308
0.87,0.309
0.88,0.31
0.89,0.311
0.9,0.312
0.91,0.313
0.92,0.314
0.93,0.315
0.94,0.316
0.95,0.317
0.96,0.318
0.97,0.319
0.98,0.32
0.99,0.321
1.0,0.322
1.01,0.323
1.02,0.325
1.03,0.325
1.04,0.326
1.05,0.327
1.06,0.329
1.07,0.33
1.08,0.331
1.09,0.332
1.1,0.333
1.11,0.334
1.12,0.335
1.13,0.336
1.14,0.337
1.15,0.338
1.16,0.339
1.17,0.34
1.18,0.341
1.19,0.342
1.2,0.343
1.21,0.344
1.22,0.345
1.23,0.346
1.24,0.347
1.25,0.348
1.26,0.354
1.27,0.36
1.28,0.366
1.29,0.371
1.3,0.377
1.31,0.383
1.32,0.388
1.33,0.394
1.34,0.4
1.35,0.406
1.36,0.411
1.37,0.417
1.38,0.423
1.39,0.429
1.4,0.434
1.41,0.44
1.42,0.446
1.43,0.452
1.44,0.457
1.45,0.463
1.46,0.469
1.47,0.474
1.48,0.48
1.49,0.486
1.5,0.492
1.51,0.492
1.52,0.492
1.53,0.492
1.54,0.492
1.55,0.492
1.56,0.492
1.57,0.492
1.58,0.492
1.59,0.492
1.6,0.492
1.61,0.492
1.62,0.492
1.63,0.492
1.64,0.492
1.65,0.492
1.66,0.492
1.67,0.492
1.68,0.492
1.69,0.492
1.7,0.492
1.71,0.492
1.72,0.492
1.73,0.492
1.74,0.492
1.75,0.492
1.76,0.492
1.77,0.492
1.78,0.492
1.79,0.492
1.8,0.492
1.81,0.492
1.82,0.492
1.83,0.492
1.84,0.492
1.85,0.492
1.86,0.492
1.87,0.492
1.88,0.492
1.89,0.492
1.9,0.492
1.91,0.492
1.92,0.492
1.93,0.492
1.94,0.492
1.95,0.492
1.96,0.492
1.97,0.492
1.98,0.492
1.99,0.492
2.0,0.492
2.01,0.492
2.02,0.492
2.03,0.492
2.04,0.492
2.05,0.492
2.06,0.492
2.07,0.492
2.08,0.492
2.09,0.492
2.1,0.492
2.11,0.492
2.12,0.492
2.13,0.492
2.14,0.492
2.15,0.492
2.16,0.492
2.17,0.492
2.18,0.492
2.19,0.492
2.2,0.492
2.21,0.492
2.22,0.492
2.23,0.492
2.24,0.492
2.25,0.492
2.26,0.492
2.27,0.492
2.28,0.492
2.29,0.492
2.3,0.492
2.31,0.492
2.32,0.492
2.33,0.492
2.34,0.492
2.35,0.492
2.36,0.492
2.37,0.492
2.38,0.492
2.39,0.492
2.4,0.492
2.41,0.492
2.42,0.492
2.43,0.492
2.44,0.492
2.45,0.492
2.46,0.492
2.47,0.492
2.48,0.492
2.49,0.492
2.5,0.492
2.51,0.492
2.52,0.492
2.53,0.492
2.54,0.492
2.55,0.492
2.56,0.492
2.57,0.492
2.58,0.492
2.59,0.492
2.6,0.492
2.61,0.492
2.62,0.492
2.63,0.492
2.64,0.492
2.65,0.492
2.66,0.492
2.67,0.492
2.68,0.492
2.69,0.492
2.7,0.492
2.71,0.492
2.72,0.492
2.73,0.492
2.74,0.492
2.75,0.492
2.76,0.492
2.77,0.492
2.78,0.492
2.79,0.492
2.8,0.492
2.81,0.492
2.82,0.492
2.83,0.492
2.84,0.492
2.85,0.492
2.86,0.492
2.87,0.492
2.88,0.492
2.89,0.492
2.9,0.492
2.91,0.492
2.92,0.492
2.93,0.492
2.94,0.492
2.95,0.492
2.96,0.492
2.97,0.492
2.98,0.492
2.99,0.492
3.0,0.492
3.01,0.492
3.02,0.492
3.03,0.492
3.04,0.492
3.05,0.492
3.06,0.492
3.07,0.492
3.08,0.492
3.09,0.492
3.1,0.492
3.11,0.492
3.12,0.492
3.13,0.492
3.14,0.492
3.15,0.492
3.16,0.492
3.17,0.492
3.18,0.492
3.19,0.492
3.2,0.492
3.21,0.492
3.22,0.492
3.23,0.492
3.24,0.492
3.25,0.492
3.26,0.492
3.27,0.492
3.28,0.492
3.29,0.492
3.3,0.492
3.31,0.492
3.32,0.492
3.33,0.492
3.34,0.492
3.35,0.492
3.36,0.492
3.37,0.492
3.38,0.492
3.39,0.492
3.4,0.492
3.41,0.492
3.42,0.492
3.43,0.492
3.44,0.492
3.45,0.492
3.46,0.492
3.47,0.492
3.48,0.492
3.49,0.492
3.5,0.492
3.51,0.492
3.52,0.492
3.53,0.492
3.54,0.492
3.55,0.492
3.56,0.492
3.57,0.492
3.58,0.492
3.59,0.492
3.6,0.492
3.61,0.492
3.62,0.492
3.63,0.492
3.64,0.492
3.65,0.492
3.66,0.492
3.67,0.492
3.68,0.492
3.69,0.492
3.7,0.492
3.71,0.492
3.72,0.492
3.73,0.492
3.74,0.492
3.75,0.492
3.76,0.492
3.77,0.492
3.78,0.492
3.79,0.492
3.8,0.492
3.81,0.492
3.82,0.492
3.83,0.492
3.84,0.492
3.85,0.492
3.86,0.492
3.87,0.492
3.88,0.492
3.89,0.492
3.9,0.492
3.91,0.492
3.92,0.492
