column separator = ,
wd(m), 0.5(m/h), 4.0(m/h)
0,0,0
0.01,0.000273406,0.000273406
0.02,0.000815491,0.000815491
0.03,0.00150771,0.00150771
0.04,0.002306185,0.002306185
0.05,0.003186608,0.003186608
0.06,0.004133341,0.004133341
0.07,0.005135438,0.005135438
0.08,0.006184795,0.006184795
0.09,0.007275171,0.007275171
0.1,0.008401615,0.008401615
0.11,0.009560105,0.009560105
0.12,0.010747316,0.010747316
0.13,0.01196045,0.01196045
0.14,0.013197128,0.013197128
0.15,0.014455301,0.014455301
0.16,0.015733188,0.015733188
0.17,0.017029232,0.017029232
0.18,0.018342054,0.018342054
0.19,0.019670432,0.019670432
0.2,0.021013275,0.021013275
0.21,0.0223696,0.0223696
0.22,0.023738523,0.023738523
0.23,0.025119241,0.025119241
0.24,0.026511026,0.026511026
0.25,0.02791321,0.02791321
0.26,0.029325183,0.029325183
0.27,0.030746386,0.030746386
0.28,0.032176302,0.032176302
0.29,0.033614453,0.033614453
0.3,0.035060399,0.035060399
0.31,0.036513728,0.036513728
0.32,0.037974061,0.037974061
0.33,0.039441041,0.039441041
0.34,0.040914337,0.040914337
0.35,0.042393639,0.042393639
0.36,0.043878656,0.043878656
0.37,0.045369117,0.045369117
0.38,0.046864763,0.046864763
0.39,0.048365355,0.048365355
0.4,0.049870666,0.049870666
0.41,0.05138048,0.05138048
0.42,0.052894596,0.052894596
0.43,0.054412822,0.054412822
0.44,0.055934977,0.055934977
0.45,0.057460889,0.057460889
0.46,0.058990395,0.058990395
0.47,0.06052334,0.06052334
0.48,0.062059578,0.062059578
0.49,0.063598969,0.063598969
0.5,0.065141379,0.065141379
0.51,0.066686681,0.066686681
0.52,0.068234755,0.068234755
0.53,0.069785485,0.069785485
0.54,0.07133876,0.07133876
0.55,0.072894476,0.072894476
0.56,0.074452531,0.074452531
0.57,0.076012829,0.076012829
0.58,0.077575278,0.077575278
0.59,0.079139788,0.079139788
0.6,0.080706277,0.080706277
0.61,0.082274661,0.082274661
0.62,0.083844863,0.083844863
0.63,0.085416808,0.085416808
0.64,0.086990424,0.086990424
0.65,0.088565641,0.088565641
0.66,0.090142394,0.090142394
0.67,0.091720618,0.091720618
0.68,0.093300251,0.093300251
0.69,0.094881234,0.094881234
0.7,0.09646351,0.09646351
0.71,0.098047024,0.098047024
0.72,0.099631723,0.099631723
0.73,0.101217555,0.101217555
0.74,0.102804471,0.102804471
0.75,0.104392423,0.104392423
0.76,0.105981366,0.105981366
0.77,0.107571255,0.107571255
0.78,0.109162046,0.109162046
0.79,0.110753698,0.110753698
0.8,0.112346172,0.112346172
0.81,0.113939428,0.113939428
0.82,0.115533428,0.115533428
0.83,0.117128137,0.117128137
0.84,0.118723519,0.118723519
0.85,0.12031954,0.12031954
0.86,0.121916167,0.121916167
0.87,0.123513369,0.123513369
0.88,0.125111113,0.125111113
0.89,0.126709371,0.126709371
0.9,0.128308113,0.128308113
0.91,0.12990731,0.12990731
0.92,0.131506937,0.131506937
0.93,0.133106965,0.133106965
0.94,0.134707369,0.134707369
0.95,0.136308125,0.136308125
0.96,0.137909208,0.137909208
0.97,0.139510594,0.139510594
0.98,0.141112261,0.141112261
0.99,0.142714186,0.142714186
1,0.144316348,0.144316348
1.01,0.145918725,0.145918725
1.02,0.147521299,0.147521299
1.03,0.149124047,0.149124047
1.04,0.150726953,0.150726953
1.05,0.152329995,0.152329995
1.06,0.153933158,0.153933158
1.07,0.155536422,0.155536422
1.08,0.15713977,0.15713977
1.09,0.158743187,0.158743187
1.1,0.160346655,0.160346655
1.11,0.161950158,0.161950158
1.12,0.163553682,0.163553682
1.13,0.165157211,0.165157211
1.14,0.16676073,0.16676073
1.15,0.168364225,0.168364225
1.16,0.169967683,0.169967683
1.17,0.17157109,0.17157109
1.18,0.173174432,0.173174432
1.19,0.174777697,0.174777697
1.2,0.176380873,0.176380873
1.21,0.177983946,0.177983946
1.22,0.179586906,0.179586906
1.23,0.181189741,0.181189741
1.24,0.182792438,0.182792438
1.25,0.184394989,0.184394989
1.26,0.185997381,0.185997381
1.27,0.187599604,0.187599604
1.28,0.189201649,0.189201649
1.29,0.190803504,0.190803504
1.3,0.192405161,0.192405161
1.31,0.19400661,0.19400661
1.32,0.195607842,0.195607842
1.33,0.197208847,0.197208847
1.34,0.198809618,0.198809618
1.35,0.200410144,0.200410144
1.36,0.202010419,0.202010419
1.37,0.203610434,0.203610434
1.38,0.205210181,0.205210181
1.39,0.206809652,0.206809652
1.4,0.208408839,0.208408839
1.41,0.210007736,0.210007736
1.42,0.211606335,0.211606335
1.43,0.213204629,0.213204629
1.44,0.21480261,0.21480261
1.45,0.216400274,0.216400274
1.46,0.217997611,0.217997611
1.47,0.219594618,0.219594618
1.48,0.221191286,0.221191286
1.49,0.22278761,0.22278761
1.5,0.224383585,0.224383585
1.51,0.225979203,0.225979203
1.52,0.227574461,0.227574461
1.53,0.229169351,0.229169351
1.54,0.230763869,0.230763869
1.55,0.232358009,0.232358009
1.56,0.233951766,0.233951766
1.57,0.235545135,0.235545135
1.58,0.237138111,0.237138111
1.59,0.238730689,0.238730689
1.6,0.240322866,0.240322866
1.61,0.241914635,0.241914635
1.62,0.243505992,0.243505992
1.63,0.245096934,0.245096934
1.64,0.246687455,0.246687455
1.65,0.248277552,0.248277552
1.66,0.249867221,0.249867221
1.67,0.251456457,0.251456457
1.68,0.253045256,0.253045256
1.69,0.254633616,0.254633616
1.7,0.256221531,0.256221531
1.71,0.257808999,0.257808999
1.72,0.259396016,0.259396016
1.73,0.260982578,0.260982578
1.74,0.262568683,0.262568683
1.75,0.264154326,0.264154326
1.76,0.265739504,0.265739504
1.77,0.267324215,0.267324215
1.78,0.268908455,0.268908455
1.79,0.270492221,0.270492221
1.8,0.27207551,0.27207551
1.81,0.27365832,0.27365832
1.82,0.275240648,0.275240648
1.83,0.27682249,0.27682249
1.84,0.278403844,0.278403844
1.85,0.279984708,0.279984708
1.86,0.281565079,0.281565079
1.87,0.283144954,0.283144954
1.88,0.284724331,0.284724331
1.89,0.286303208,0.286303208
1.9,0.287881583,0.287881583
1.91,0.289459452,0.289459452
1.92,0.291036814,0.291036814
1.93,0.292613667,0.292613667
1.94,0.294190009,0.294190009
1.95,0.295765837,0.295765837
1.96,0.29734115,0.29734115
1.97,0.298915945,0.298915945
1.98,0.300490221,0.300490221
1.99,0.302063976,0.302063976
2,0.303637208,0.303637208
2.01,0.305209915,0.305209915
2.02,0.306782095,0.305893809
2.03,0.308353747,0.318908835
2.04,0.30992487,0.332352426
2.05,0.311495461,0.346233907
2.06,0.313065519,0.360562664
2.07,0.314635042,0.375348136
2.08,0.31620403,0.390599815
2.09,0.31777248,0.406327241
2.1,0.319340391,0.422540001
2.11,0.320907762,0.439247722
2.12,0.322474591,0.456460071
2.13,0.324040878,0.474186749
2.14,0.32560662,0.492437492
2.15,0.327171817,0.511222062
2.16,0.328736467,0.530550246
2.17,0.33030057,0.550431855
2.18,0.331864124,0.570876715
2.19,0.333427127,0.591894671
2.2,0.33498958,0.613495575
2.21,0.336551481,0.635689289
2.22,0.338112828,0.658485679
2.23,0.339673622,0.681894613
2.24,0.34123386,0.705925953
2.25,0.342793542,0.730589558
2.26,0.344352668,0.755895274
2.27,0.345911235,0.781852937
2.28,0.347469245,0.808472364
2.29,0.349026694,0.835763352
2.3,0.350583584,0.863735674
2.31,0.352139912,0.892399077
2.32,0.353695679,0.921763276
2.33,0.355250883,0.951837952
2.34,0.356805524,0.982632749
2.35,0.358359601,1.014157268
2.36,0.359913113,1.046421069
2.37,0.36146606,1.079433661
2.38,0.363018442,1.113204504
2.39,0.364570257,1.147743003
2.4,0.366121505,1.183058504
2.41,0.367672186,1.219160295
2.42,0.369222298,1.256057597
2.43,0.370771842,1.293759567
2.44,0.372320817,1.332275289
2.45,0.373869223,1.371613773
2.46,0.375417058,1.411783957
2.47,0.376964323,1.452794694
2.48,0.378511018,1.494654758
2.49,0.380057141,1.537372836
2.5,0.381602692,1.580957529
2.51,0.383147671,1.625417345
2.52,0.384692078,1.670760699
2.53,0.386235912,1.716995908
2.54,0.387779174,1.764131192
2.55,0.389321862,1.812174668
2.56,0.390863976,1.861134349
2.57,0.392405516,1.91101814
2.58,0.393946483,1.961833839
2.59,0.395486875,2.013589129
2.6,0.397026692,2.066291581
2.61,0.398565935,2.11994865
2.62,0.400104602,2.17456767
2.63,0.401642694,2.230155857
2.64,0.403180211,2.2867203
2.65,0.404717152,2.344267968
2.66,0.406253518,2.402805699
2.67,0.407789308,2.462340203
2.68,0.409324522,2.522878059
2.69,0.410859159,2.584425714
2.7,0.412393221,2.64698948
2.71,0.413926706,2.710575532
2.72,0.415459615,2.775189908
2.73,0.416991947,2.840838507
2.74,0.418523703,2.907527084
2.75,0.420054883,2.975261256
2.76,0.421585486,3.044046492
2.77,0.423115512,3.113888117
2.78,0.424644962,3.184791312
2.79,0.426173835,3.256761106
2.8,0.427702132,3.329802381
2.81,0.429229852,3.403919871
2.82,0.430756995,3.479118154
2.83,0.432283562,3.555401661
2.84,0.433809553,3.632774667
2.85,0.435334967,3.711241293
2.86,0.436859805,3.790805507
2.87,0.438384066,3.87147112
2.88,0.439907751,3.953241788
2.89,0.441430861,4.03612101
2.9,0.442953394,4.120112127
2.91,0.444475351,4.205218322
2.92,0.445996733,4.291442621
2.93,0.447517539,4.37878789
2.94,0.449037769,4.467256836
2.95,0.450557424,4.556852008
2.96,0.452076504,4.647575793
2.97,0.453595009,4.739430422
2.98,0.455112938,4.832417961
2.99,0.456630293,4.926540321
3,0.458147074,5.021799249
3.01,0.459663279,5.118196335
3.02,0.461178911,5.215733007
3.03,0.462693969,5.314410534
3.04,0.464208453,5.414230027
3.05,0.465722363,5.515192434
3.06,0.4672357,5.617298547
3.07,0.468748463,5.720548998
3.08,0.470260654,5.824944261
3.09,0.471772271,5.930484652
3.1,0.473283317,6.037170329
3.11,0.47479379,6.145001294
3.12,0.476303691,6.253977392
3.13,0.47781302,6.364098311
3.14,0.479321778,6.475363585
3.15,0.480829964,6.587772594
3.16,0.482337579,6.701324563
3.17,0.483844624,6.816018565
3.18,0.485351099,6.931853519
3.19,0.486857003,7.048828194
3.2,0.488362337,7.166941209
3.21,0.489867102,7.286191031
3.22,0.491371297,7.406575981
3.23,0.492874923,7.52809423
3.24,0.494377981,7.650743804
3.25,0.495880471,7.774522582
3.26,0.497382392,7.899428299
3.27,0.498883746,8.025458546
3.28,0.500384532,8.152610774
3.29,0.501884751,8.280882289
3.3,0.503384404,8.410270259
3.31,0.50488349,8.540771715
3.32,0.50638201,8.672383546
3.33,0.507879964,8.80510251
3.34,0.509377353,8.938925225
3.35,0.510874177,9.07384818
3.36,0.512370436,9.209867728
3.37,0.513866131,9.346980094
3.38,0.515361262,9.485181372
3.39,0.516855829,9.624467527
3.4,0.518349833,9.764834401
3.41,0.519843275,9.906277706
3.42,0.521336153,10.04879303
3.43,0.52282847,10.19237585
3.44,0.524320225,10.33702151
3.45,0.525811419,10.48272524
3.46,0.527302051,10.62948215
3.47,0.528792124,10.77728723
3.48,0.530281636,10.92613537
3.49,0.531770588,11.07602133
3.5,0.533258981,11.22693977
3.51,0.534746815,11.37888524
3.52,0.53623409,11.53185217
3.53,0.537720807,11.68583491
3.54,0.539206966,11.84082767
3.55,0.540692568,11.99682458
3.56,0.542177614,12.15381966
3.57,0.543662102,12.31180685
3.58,0.545146035,12.47077996
3.59,0.546629411,12.63073272
3.6,0.548112233,12.79165878
3.61,0.5495945,12.95355166
3.62,0.551076212,13.11640482
3.63,0.55255737,13.28021163
3.64,0.554037975,13.44496535
3.65,0.555518027,13.61065917
3.66,0.556997526,13.77728619
3.67,0.558476473,13.94483944
3.68,0.559954868,14.11331185
3.69,0.561432711,14.28269629
3.7,0.562910004,14.45298553
3.71,0.564386746,14.62417228
3.72,0.565862938,14.79624917
3.73,0.567338581,14.96920877
3.74,0.568813674,15.14304356
3.75,0.570288219,15.31774597
3.76,0.571762215,15.49330834
3.77,0.573235664,15.66972296
3.78,0.574708566,15.84698206
3.79,0.57618092,16.0250778
3.8,0.577652728,16.20400229
3.81,0.57912399,16.38374755
3.82,0.580594707,16.56430559
3.83,0.582064879,16.74566832
3.84,0.583534506,16.92782764
3.85,0.585003589,17.11077535
3.86,0.586472128,17.29450324
3.87,0.587940124,17.47900302
3.88,0.589407578,17.66426639
3.89,0.590874489,17.85028497
3.9,0.592340859,18.03705036
3.91,0.593806687,18.22455409
3.92,0.595271974,18.41278768
3.93,0.596736721,18.60174259
3.94,0.598200928,18.79141026
3.95,0.599664596,18.98178207
3.96,0.601127725,19.1728494
3.97,0.602590316,19.36460356
3.98,0.604052368,19.55703585
3.99,0.605513883,19.75013755
4,0.606974861,19.94389988
4.01,0.608435303,20.13831407
4.02,0.609895208,20.3333713
4.03,0.611354578,20.52906273
4.04,0.612813413,20.7253795
4.05,0.614271714,20.92231274
4.06,0.61572948,21.11985355
4.07,0.617186713,21.31799301
4.08,0.618643412,21.5167222
4.09,0.620099579,21.71603216
4.1,0.621555214,21.91591393
4.11,0.623010317,22.11635854
4.12,0.624464889,22.31735702
4.13,0.62591893,22.51890036
4.14,0.627372442,22.72097956
4.15,0.628825423,22.92358563
4.16,0.630277875,23.12670954
4.17,0.631729799,23.33034228
4.18,0.633181194,23.53447483
4.19,0.634632062,23.73909817
4.2,0.636082402,23.94420328
4.21,0.637532216,24.14978114
4.22,0.638981503,24.35582273
4.23,0.640430265,24.56231904
4.24,0.641878501,24.76926106
4.25,0.643326213,24.97663977
4.26,0.6447734,25.1844462
4.27,0.646220064,25.39267133
4.28,0.647666205,25.60130621
4.29,0.649111822,25.81034185
4.3,0.650556918,26.01976931
4.31,0.652001491,26.22957962
4.32,0.653445544,26.43976387
4.33,0.654889075,26.65031314
4.34,0.656332086,26.86121852
4.35,0.657774578,27.07247113
4.36,0.65921655,27.2840621
4.37,0.660658004,27.49598259
4.38,0.662098939,27.70822377
4.39,0.663539356,27.92077683
4.4,0.664979257,28.13363298
4.41,0.66641864,28.34678346
4.42,0.667857507,28.56021953
4.43,0.669295858,28.77393248
4.44,0.670733694,28.98791361
4.45,0.672171016,29.20215427
4.46,0.673607823,29.41664581
4.47,0.675044116,29.63137963
4.48,0.676479896,29.84634715
4.49,0.677915163,30.06153981
4.5,0.679349918,30.27694909
4.51,0.680784161,30.49256652
4.52,0.682217893,30.70838362
4.53,0.683651114,30.92439197
4.54,0.685083824,31.14058319
4.55,0.686516025,31.35694892
4.56,0.687947717,31.57348082
4.57,0.6893789,31.79017063
4.58,0.690809575,32.00701007
4.59,0.692239742,32.22399095
4.6,0.693669401,32.44110508
4.61,0.695098554,32.65834433
4.62,0.6965272,32.8757006
4.63,0.697955341,33.09316581
4.64,0.699382977,33.31073197
4.65,0.700810107,33.52839108
4.66,0.702236734,33.7461352
4.67,0.703662856,33.96395644
4.68,0.705088476,34.18184694
4.69,0.706513592,34.3997989
4.7,0.707938207,34.61780453
4.71,0.709362319,34.83585612
4.72,0.710785931,35.05394598
4.73,0.712209041,35.27206648
4.74,0.713631651,35.49021002
4.75,0.715053761,35.70836905
4.76,0.716475373,35.92653609
4.77,0.717896485,36.14470367
4.78,0.719317099,36.36286438
4.79,0.720737215,36.58101087
4.8,0.722156834,36.79913582
4.81,0.723575956,37.01723196
4.82,0.724994582,37.23529209
4.83,0.726412712,37.45330904
4.84,0.727830346,37.67127567
4.85,0.729247486,37.88918493
4.86,0.730664131,38.1070298
4.87,0.732080283,38.3248033
4.88,0.733495941,38.54249851
4.89,0.734911107,38.76010857
4.9,0.73632578,38.97762666
4.91,0.737739961,39.195046
4.92,0.739153651,39.41235989
4.93,0.740566849,39.62956165
4.94,0.741979558,39.84664467
4.95,0.743391777,40.06360239
4.96,0.744803506,40.2804283
4.97,0.746214746,40.49711595
4.98,0.747625498,40.71365892
4.99,0.749035762,40.93005087
5,0.750445539,41.14628549
5.01,0.751854828,41.36235655
5.02,0.753263632,41.57825783
5.03,0.754671949,41.79398321
5.04,0.75607978,42.0095266
5.05,0.757487127,42.22488196
5.06,0.758893989,42.44004331
5.07,0.760300368,42.65500472
5.08,0.761706262,42.86976032
5.09,0.763111674,43.0843043
5.1,0.764516603,43.29863088
5.11,0.76592105,43.51273436
5.12,0.767325015,43.72660907
5.13,0.7687285,43.94024941
5.14,0.770131504,44.15364983
5.15,0.771534027,44.36680484
5.16,0.772936071,44.57970899
5.17,0.774337636,44.7923569
5.18,0.775738722,45.00474322
5.19,0.77713933,45.21686269
5.2,0.77853946,45.42871007
5.21,0.779939113,45.6402802
5.22,0.781338289,45.85156795
5.23,0.782736989,46.06256826
5.24,0.784135213,46.27327613
5.25,0.785532962,46.48368659
5.26,0.786930236,46.69379474
5.27,0.788327036,46.90359573
5.28,0.789723362,47.11308477
5.29,0.791119214,47.32225712
5.3,0.792514594,47.53110808
5.31,0.793909501,47.73963303
5.32,0.795303936,47.94782738
5.33,0.7966979,48.15568661
5.34,0.798091392,48.36320623
5.35,0.799484414,48.57038183
5.36,0.800876966,48.77720904
5.37,0.802269049,48.98368354
5.38,0.803660662,49.18980107
5.39,0.805051807,49.39555741
5.4,0.806442483,49.60094841
5.41,0.807832692,49.80596996
5.42,0.809222433,50.01061801
5.43,0.810611708,50.21488855
5.44,0.812000517,50.41877763
5.45,0.81338886,50.62228136
5.46,0.814776737,50.82539587
5.47,0.816164149,51.02811739
5.48,0.817551098,51.23044216
5.49,0.818937582,51.43236649
5.5,0.820323602,51.63388673
5.51,0.82170916,51.83499929
5.52,0.823094255,52.03570063
5.53,0.824478888,52.23598725
5.54,0.82586306,52.43585571
5.55,0.82724677,52.63530262
5.56,0.82863002,52.83432463
5.57,0.830012809,53.03291846
5.58,0.831395139,53.23108084
5.59,0.832777009,53.4288086
5.6,0.834158421,53.62609857
5.61,0.835539374,53.82294766
5.62,0.836919869,54.01935282
5.63,0.838299907,54.21531105
5.64,0.839679488,54.41081939
5.65,0.841058612,54.60587493
5.66,0.84243728,54.80047481
5.67,0.843815493,54.99461622
5.68,0.845193251,55.1882964
5.69,0.846570553,55.38151261
5.7,0.847947402,55.57426219
5.71,0.849323797,55.76654251
5.72,0.850699738,55.95835098
5.73,0.852075227,56.14968508
