wd(m),Factor
0,0
0.01,0.0075
0.02,0.015
0.03,0.0225
0.04,0.03
0.05,0.0375
0.06,0.045
0.07,0.0525
0.08,0.06
0.09,0.0675
0.1,0.075
0.11,0.0825
0.12,0.09
0.13,0.0975
0.14,0.105
0.15,0.1125
0.16,0.12
0.17,0.1275
0.18,0.135
0.19,0.1425
0.2,0.15
0.21,0.15125
0.22,0.1525
0.23,0.15375
0.24,0.155
0.25,0.15625
0.26,0.1575
0.27,0.15875
0.28,0.16
0.29,0.16125
0.3,0.1625
0.31,0.16375
0.32,0.165
0.33,0.16625
0.34,0.1675
0.35,0.16875
0.36,0.17
0.37,0.17125
0.38,0.1725
0.39,0.17375
0.4,0.175
0.41,0.17625
0.42,0.1775
0.43,0.17875
0.44,0.18
0.45,0.18125
0.46,0.1825
0.47,0.18375
0.48,0.185
0.49,0.18625
0.5,0.1875
0.51,0.18875
0.52,0.19
0.53,0.19125
0.54,0.1925
0.55,0.19375
0.56,0.195
0.57,0.19625
0.58,0.1975
0.59,0.19875
0.6,0.2
0.61,0.20125
0.62,0.2025
0.63,0.20375
0.64,0.205
0.65,0.20625
0.66,0.2075
0.67,0.20875
0.68,0.21
0.69,0.21125
0.7,0.2125
0.71,0.21375
0.72,0.215
0.73,0.21625
0.74,0.2175
0.75,0.21875
0.76,0.22
0.77,0.22125
0.78,0.2225
0.79,0.22375
0.8,0.225
0.81,0.22625
0.82,0.2275
0.83,0.22875
0.84,0.23
0.85,0.23125
0.86,0.2325
0.87,0.23375
0.88,0.235
0.89,0.23625
0.9,0.2375
0.91,0.23875
0.92,0.24
0.93,0.24125
0.94,0.2425
0.95,0.24375
0.96,0.245
0.97,0.24625
0.98,0.2475
0.99,0.24875
1,0.25
1.01,0.25125
1.02,0.2525
1.03,0.25375
1.04,0.255
1.05,0.25625
1.06,0.2575
1.07,0.25875
1.08,0.26
1.09,0.26125
1.1,0.2625
1.11,0.26375
1.12,0.265
1.13,0.26625
1.14,0.2675
1.15,0.26875
1.16,0.27
1.17,0.27125
1.18,0.2725
1.19,0.27375
1.2,0.275
1.21,0.27625
1.22,0.2775
1.23,0.27875
1.24,0.28
1.25,0.28125
1.26,0.2825
1.27,0.28375
1.28,0.285
1.29,0.28625
1.3,0.2875
1.31,0.28875
1.32,0.29
1.33,0.29125
1.34,0.2925
1.35,0.29375
1.36,0.295
1.37,0.29625
1.38,0.2975
1.39,0.29875
1.4,0.3
1.41,0.30125
1.42,0.3025
1.43,0.30375
1.44,0.305
1.45,0.30625
1.46,0.3075
1.47,0.30875
1.48,0.31
1.49,0.31125
1.5,0.3125
1.51,0.31375
1.52,0.315
1.53,0.31625
1.54,0.3175
1.55,0.31875
1.56,0.32
1.57,0.32125
1.58,0.3225
1.59,0.32375
1.6,0.325
1.61,0.32625
1.62,0.3275
1.63,0.32875
1.64,0.33
1.65,0.33125
1.66,0.3325
1.67,0.33375
1.68,0.335
1.69,0.33625
1.7,0.3375
1.71,0.33875
1.72,0.34
1.73,0.34125
1.74,0.3425
1.75,0.34375
1.76,0.345
1.77,0.34625
1.78,0.3475
1.79,0.34875
1.8,0.35
1.81,0.35125
1.82,0.3525
1.83,0.35375
1.84,0.355
1.85,0.35625
1.86,0.3575
1.87,0.35875
1.88,0.36
1.89,0.36125
1.9,0.3625
1.91,0.36375
1.92,0.365
1.93,0.36625
1.94,0.3675
1.95,0.36875
1.96,0.37
1.97,0.37125
1.98,0.3725
1.99,0.37375
2,0.375
2.01,0.37625
2.02,0.3775
2.03,0.37875
2.04,0.38
2.05,0.38125
2.06,0.3825
2.07,0.38375
2.08,0.385
2.09,0.38625
2.1,0.3875
2.11,0.38875
2.12,0.39
2.13,0.39125
2.14,0.3925
2.15,0.39375
2.16,0.395
2.17,0.39625
2.18,0.3975
2.19,0.39875
2.2,0.4
2.21,0.40125
2.22,0.4025
2.23,0.40375
2.24,0.405
2.25,0.40625
2.26,0.4075
2.27,0.40875
2.28,0.41
2.29,0.41125
2.3,0.4125
2.31,0.41375
2.32,0.415
2.33,0.41625
2.34,0.4175
2.35,0.41875
2.36,0.42
2.37,0.42125
2.38,0.4225
2.39,0.42375
2.4,0.425
2.41,0.42625
2.42,0.4275
2.43,0.42875
2.44,0.43
2.45,0.43125
2.46,0.4325
2.47,0.43375
2.48,0.435
2.49,0.43625
2.5,0.4375
2.51,0.43875
2.52,0.44
2.53,0.44125
2.54,0.4425
2.55,0.44375
2.56,0.445
2.57,0.44625
2.58,0.4475
2.59,0.44875
2.6,0.45
2.61,0.45125
2.62,0.4525
2.63,0.45375
2.64,0.455
2.65,0.45625
2.66,0.4575
2.67,0.45875
2.68,0.46
2.69,0.46125
2.7,0.4625
2.71,0.46375
2.72,0.465
2.73,0.46625
2.74,0.4675
2.75,0.46875
2.76,0.47
2.77,0.47125
2.78,0.4725
2.79,0.47375
2.8,0.475
2.81,0.47625
2.82,0.4775
2.83,0.47875
2.84,0.48
2.85,0.48125
2.86,0.4825
2.87,0.48375
2.88,0.485
2.89,0.48625
2.9,0.4875
2.91,0.48875
2.92,0.49
2.93,0.49125
2.94,0.4925
2.95,0.49375
2.96,0.495
2.97,0.49625
2.98,0.4975
2.99,0.49875
3,0.5
3.01,0.50125
3.02,0.5025
3.03,0.50375
3.04,0.505
3.05,0.50625
3.06,0.5075
3.07,0.50875
3.08,0.51
3.09,0.51125
3.1,0.5125
3.11,0.51375
3.12,0.515
3.13,0.51625
3.14,0.5175
3.15,0.51875
3.16,0.52
3.17,0.52125
3.18,0.5225
3.19,0.52375
3.2,0.525
3.21,0.52625
3.22,0.5275
3.23,0.52875
3.24,0.53
3.25,0.53125
3.26,0.5325
3.27,0.53375
3.28,0.535
3.29,0.53625
3.3,0.5375
3.31,0.53875
3.32,0.54
3.33,0.54125
3.34,0.5425
3.35,0.54375
3.36,0.545
3.37,0.54625
3.38,0.5475
3.39,0.54875
3.4,0.55
3.41,0.55125
3.42,0.5525
3.43,0.55375
3.44,0.555
3.45,0.55625
3.46,0.5575
3.47,0.55875
3.48,0.56
3.49,0.56125
3.5,0.5625
3.51,0.56375
3.52,0.565
3.53,0.56625
3.54,0.5675
3.55,0.56875
3.56,0.57
3.57,0.57125
3.58,0.5725
3.59,0.57375
3.6,0.575
3.61,0.57625
3.62,0.5775
3.63,0.57875
3.64,0.58
3.65,0.58125
3.66,0.5825
3.67,0.58375
3.68,0.585
3.69,0.58625
3.7,0.5875
3.71,0.58875
3.72,0.59
3.73,0.59125
3.74,0.5925
3.75,0.59375
3.76,0.595
3.77,0.59625
3.78,0.5975
3.79,0.59875
3.8,0.6
3.81,0.60125
3.82,0.6025
3.83,0.60375
3.84,0.605
3.85,0.60625
3.86,0.6075
3.87,0.60875
3.88,0.61
3.89,0.61125
3.9,0.6125
3.91,0.61375
3.92,0.615
3.93,0.61625
3.94,0.6175
3.95,0.61875
3.96,0.62
3.97,0.62125
3.98,0.6225
3.99,0.62375
4,0.625
4.01,0.62625
4.02,0.6275
4.03,0.62875
4.04,0.63
4.05,0.63125
4.06,0.6325
4.07,0.63375
4.08,0.635
4.09,0.63625
4.1,0.6375
4.11,0.63875
4.12,0.64
4.13,0.64125
4.14,0.6425
4.15,0.64375
4.16,0.645
4.17,0.64625
4.18,0.6475
4.19,0.64875
4.2,0.65
4.21,0.65125
4.22,0.6525
4.23,0.65375
4.24,0.655
4.25,0.65625
4.26,0.6575
4.27,0.65875
4.28,0.66
4.29,0.66125
4.3,0.6625
4.31,0.66375
4.32,0.665
4.33,0.66625
4.34,0.6675
4.35,0.66875
4.36,0.67
4.37,0.67125
4.38,0.6725
4.39,0.67375
4.4,0.675
4.41,0.67625
4.42,0.6775
4.43,0.67875
4.44,0.68
4.45,0.68125
4.46,0.6825
4.47,0.68375
4.48,0.685
4.49,0.68625
4.5,0.6875
4.51,0.68875
4.52,0.69
4.53,0.69125
4.54,0.6925
4.55,0.69375
4.56,0.695
4.57,0.69625
4.58,0.6975
4.59,0.69875
4.6,0.7
4.61,0.70125
4.62,0.7025
4.63,0.70375
4.64,0.705
4.65,0.70625
4.66,0.7075
4.67,0.70875
4.68,0.71
4.69,0.71125
4.7,0.7125
4.71,0.71375
4.72,0.715
4.73,0.71625
4.74,0.7175
4.75,0.71875
4.76,0.72
4.77,0.72125
4.78,0.7225
4.79,0.72375
4.8,0.725
4.81,0.72625
4.82,0.7275
4.83,0.72875
4.84,0.73
4.85,0.73125
4.86,0.7325
4.87,0.73375
4.88,0.735
4.89,0.73625
4.9,0.7375
4.91,0.73875
4.92,0.74
4.93,0.74125
4.94,0.7425
4.95,0.74375
4.96,0.745
4.97,0.74625
4.98,0.7475
4.99,0.74875
5,0.75
5.01,0.75125
5.02,0.7525
5.03,0.75375
5.04,0.755
5.05,0.75625
5.06,0.7575
5.07,0.75875
5.08,0.76
5.09,0.76125
5.1,0.7625
5.11,0.76375
5.12,0.765
5.13,0.76625
5.14,0.7675
5.15,0.76875
5.16,0.77
5.17,0.77125
5.18,0.7725
5.19,0.77375
5.2,0.775
5.21,0.77625
5.22,0.7775
5.23,0.77875
5.24,0.78
5.25,0.78125
5.26,0.7825
5.27,0.78375
5.28,0.785
5.29,0.78625
5.3,0.7875
5.31,0.78875
5.32,0.79
5.33,0.79125
5.34,0.7925
5.35,0.79375
5.36,0.795
5.37,0.79625
5.38,0.7975
5.39,0.79875
5.4,0.8
5.41,0.80125
5.42,0.8025
5.43,0.80375
5.44,0.805
5.45,0.80625
5.46,0.8075
5.47,0.80875
5.48,0.81
5.49,0.81125
5.5,0.8125
5.51,0.81375
5.52,0.815
5.53,0.81625
5.54,0.8175
5.55,0.81875
5.56,0.82
5.57,0.82125
5.58,0.8225
5.59,0.82375
5.6,0.825
5.61,0.82625
5.62,0.8275
5.63,0.82875
5.64,0.83
5.65,0.83125
5.66,0.8325
5.67,0.83375
5.68,0.835
5.69,0.83625
5.7,0.8375
5.71,0.83875
5.72,0.84
5.73,0.84125
5.74,0.8425
5.75,0.84375
5.76,0.845
5.77,0.84625
5.78,0.8475
5.79,0.84875
5.8,0.85
5.81,0.85125
5.82,0.8525
5.83,0.85375
5.84,0.855
5.85,0.85625
5.86,0.8575
5.87,0.85875
5.88,0.86
5.89,0.86125
5.9,0.8625
5.91,0.86375
5.92,0.865
5.93,0.86625
5.94,0.8675
5.95,0.86875
5.96,0.87
5.97,0.87125
5.98,0.8725
5.99,0.87375
6,0.875
6.01,0.87625
6.02,0.8775
6.03,0.87875
6.04,0.88
6.05,0.88125
6.06,0.8825
6.07,0.88375
6.08,0.885
6.09,0.88625
6.1,0.8875
6.11,0.88875
6.12,0.89
6.13,0.89125
6.14,0.8925
6.15,0.89375
6.16,0.895
6.17,0.89625
6.18,0.8975
6.19,0.89875
6.2,0.9
6.21,0.90125
6.22,0.9025
6.23,0.90375
6.24,0.905
6.25,0.90625
6.26,0.9075
6.27,0.90875
6.28,0.91
6.29,0.91125
6.3,0.9125
6.31,0.91375
6.32,0.915
6.33,0.91625
6.34,0.9175
6.35,0.91875
6.36,0.92
6.37,0.92125
6.38,0.9225
6.39,0.92375
6.4,0.925
6.41,0.92625
6.42,0.9275
6.43,0.92875
6.44,0.93
6.45,0.93125
6.46,0.9325
6.47,0.93375
6.48,0.935
6.49,0.93625
6.5,0.9375
6.51,0.93875
6.52,0.94
6.53,0.94125
6.54,0.9425
6.55,0.94375
6.56,0.945
6.57,0.94625
6.58,0.9475
6.59,0.94875
6.6,0.95
6.61,0.95125
6.62,0.9525
6.63,0.95375
6.64,0.955
6.65,0.95625
6.66,0.9575
6.67,0.95875
6.68,0.96
6.69,0.96125
6.7,0.9625
6.71,0.96375
6.72,0.965
6.73,0.96625
6.74,0.9675
6.75,0.96875
6.76,0.97
6.77,0.97125
6.78,0.9725
6.79,0.97375
6.8,0.975
6.81,0.97625
6.82,0.9775
6.83,0.97875
6.84,0.98
6.85,0.98125
6.86,0.9825
6.87,0.98375
6.88,0.985
6.89,0.98625
6.9,0.9875
6.91,0.98875
6.92,0.99
6.93,0.99125
6.94,0.9925
6.95,0.99375
6.96,0.995
6.97,0.99625
6.98,0.9975
6.99,0.99875
7,1
